OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID,Latitude,Longitude
9624,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10444,Not Specified,AERIAL,J,Not Specified,7343,Not Specified,{9903A616-3582-4085-9ED4-115E36CAC97E},40.113713565759525,-88.23344304717678
9625,No Parking to Corner,"12"" X 18""",Not Specified,Streetlight,,Parking,Not Specified,HR7-11,Champaign,10446,Not Specified,AERIAL,J,Not Specified,7344,Not Specified,{9DF506B4-4392-4BBC-9803-0EC80399BABB},40.113877641728465,-88.23360211089623
9626,Stop,"30""",4-Way,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10447,Not Specified,AERIAL,I,Not Specified,7345,Not Specified,{C39461ED-5EB5-4D23-9913-9DAA3C11F3BA},40.10697053209251,-88.23205423343819
9627,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10448,Not Specified,AERIAL,I,Not Specified,7346,Not Specified,{620D8459-68C9-42F6-AA2C-85E39C91EB14},40.10688858156689,-88.23331988722285
9628,Stop,"30""",4-Way,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10449,Not Specified,AERIAL,I,Not Specified,7347,Not Specified,{1B8BAE14-0DCD-47FA-ADD5-41593132354E},40.106772144795855,-88.23215708506734
9629,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10450,Not Specified,AERIAL,I,Not Specified,7348,Not Specified,{09ABDCC6-8084-4732-80A6-D5D673A90AFC},40.105525244579056,-88.23202001861002
9630,Stop,"30""",Not Specified,U-Channel,2011-01-01,Regulatory,Not Specified,R1-1,U of I,10451,Not Specified,AERIAL,I,Not Specified,7349,Not Specified,{8EDB6922-B0E0-49C7-B4D4-C6A0A5E04A58},40.105481015608,-88.2333193869345
9631,Streetname - Campustown,"6"" X 30""",Not Specified,Streetlight,2015-01-01,Streetname,Streetname - Campustown ,N/A,Champaign,10453,Not Specified,AERIAL,I,E Springfield Ave,6476,Not Specified,{CE947A6D-9292-4981-BE86-6502A2541A0F},40.1127851948205,-88.23214427630218
9632,Streetname,"16"" X 42""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,10454,Not Specified,AERIAL,I,Springfield Avenue,7350,Not Specified,{6D532461-CDC8-4ED8-918C-C5BC0D4DF641},40.11283323723765,-88.23346983391545
9633,Streetname,"16"" X 42""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,10455,Not Specified,AERIAL,I,Fourth Street,7351,Not Specified,{EB463B17-A016-4012-999C-D27D17171AF7},40.11259726554668,-88.23337390134282
