OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID,Latitude,Longitude
1365,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255937.103875,1012260.88275,3.0,,2527,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{8D986CA3-A8DB-488D-87A4-F00AADC5A931},40.115332821895834,-88.23319268482692
1366,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255969.0514,1012122.585225,3.0,,2528,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{A282FB12-6CB6-4C68-85F3-4F15C9FBC7C7},40.115424219252596,-88.23368159811605
1367,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255936.12885,1011987.691625,3.0,,2529,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{F1AEB4AC-02AD-4157-B313-CE3C28C23948},40.11533425747975,-88.23416403579022
1368,Cast Iron,Other,Globe,IND,55,SL009,1255568.816175,1004536.927,7.0,,2530,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{C2F05B9A-EDE1-4534-9838-B425CDED7731},40.11433768482866,-88.26080552084444
1369,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1253679.74417499,1012553.42905,3.0,,2532,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{E610EE04-569B-42E5-87E8-F8CC95F8C53E},40.10913289895012,-88.23215852196775
1370,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1256067.8844,1009877.58,5.0,,2533,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{791FDEB9-E33D-4311-AB8D-DB8236899622},40.11570215596745,-88.24170964684087
1371,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1256021.959325,1009861.068,5.0,,2534,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{86616BC6-5431-4096-9B69-AFC27990CF72},40.11557613089704,-88.24176569673442
1372,Aluminum,Davit,Cobra,HPS,100,SL046,1256689.71365,1012167.16,4.0,,2535,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{73D27ECF-42D9-4949-8462-CCE7FB8C661F},40.11740237531811,-88.23351933174061
1373,Aluminum,Davit,Cobra,HPS,100,SL046,1256690.23755,1012519.888,4.0,,2536,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{82A6567C-ACC8-484E-A926-9A3B5521CA91},40.11740271983868,-88.23225812633775
1374,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1253222.1004,1012440.078075,3.0,,2537,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3AEC61E0-4830-45B1-8D98-88735AFA47C6},40.107896853235715,-88.23254858566165
1375,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1253194.411575,1012573.33035,3.0,,2538,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{B80D6FC5-00AE-4E7B-B640-A2001AC9618A},40.10778352048102,-88.23210364861035
1376,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1252966.844325,1012574.19565,3.0,,2539,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{FD287C5C-16DF-4E4B-A878-BF42859B9B11},40.10718143893239,-88.23207910302443
1377,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1252551.5125,1012582.848375,3.0,,2540,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{1C35DD72-7BE2-44B3-B984-4ED075D20662},40.106041281553004,-88.23204986082324
1378,Cast Iron,Other,Globe,IND,55,SL009,1255571.354425,1004257.614,7.0,,2548,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{C1C2169A-936F-4D2E-A6A6-FC9D427F243E},40.11434832306261,-88.26180342376313
1379,Aluminum,Davit,Cobra,HPS,100,SL046,1256523.297975,1012542.02,4.0,,2549,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{265FFB4A-A438-4D61-9445-2E98C7E55126},40.116944384098844,-88.23217967149112
1380,Aluminum,Davit,Cobra,HPS,100,SL046,1256689.46545,1012635.122,4.0,,2550,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{6B92AD6F-ECE6-4977-9F8F-69A46CAE7C68},40.11740023946638,-88.23184610148425
1381,Cast Iron,Other,Globe,IND,55,SL029,1257317.51639999,1006188.731125,7.0,,2551,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{37B2784C-BFE6-41B9-8CBA-91B2F0874CD3},40.11914220976698,-88.25489362576043
1382,Cast Iron,Other,Globe,IND,55,SL009,1255577.41604999,1004120.955,7.0,,2552,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{8DA04941-9547-43ED-8E52-A3F57BB9B84A},40.11435516205607,-88.26229600243117
1383,Cast Iron,Other,Globe,IND,55,SL009,1255615.41715,1004200.379,7.0,,2553,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{44007D3D-C91E-4918-B799-E4719B9A3E24},40.11446627470621,-88.26203053344896
1384,Cast Iron,Other,Globe,IND,55,SL009,1255614.6839,1004304.279,7.0,,2554,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{9FB81CE8-7692-40ED-8B99-239231C3E966},40.11446258753713,-88.26163515069547
1385,Aluminum,Other,Cobra,HPS,100,SL086,1254298.64855,1012492.86815,1.0,,2556,Yes,Not Specified,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{507C22D4-A8E0-4239-8DD8-FAB571E352F7},40.11083763970424,-88.23236444618507
1386,Cast Iron,Other,Globe,IND,55,SL010,1256701.08825,1001528.9969,7.0,,2564,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{63D25D99-1717-4C01-8B38-67025DA32E38},40.11746013457692,-88.27155678387255
1387,Cast Aluminum,Other,Globe,HPS,100,SL032,1256984.302175,1009070.807425,1.0,,2565,Yes,F,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{AEA98195-6F97-487F-960C-BC278FD25E28},40.118214506767195,-88.24460653487512
1388,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1255954.90255,1009868.456,5.0,,2566,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{BF838E1B-EC57-40E0-898C-FCDC5AA14D8A},40.115392036647464,-88.24174592436354
1389,Aluminum,Davit,Cobra,HPS,100,SL046,1256693.5511,1012805.322,4.0,,2567,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{20797E53-B528-411A-85D0-EB306E58CAE2},40.11741092007446,-88.23123752535683
1390,Aluminum,Davit,Cobra,HPS,100,SL046,1256694.647725,1012973.366,4.0,,2568,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{154DA808-6131-4830-87EE-2675F3C1D83F},40.11741339964266,-88.23063666620301
1391,Aluminum,Davit,Cobra,HPS,100,SL046,1256571.0099,1013050.611,4.0,,2569,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{2AAF0E8A-AE2C-4F38-B0EA-0E83F8E73835},40.11707375559635,-88.23036098262476
1392,Aluminum,Truss Arm,Cobra,HPS,70,SL081,1254442.1772,1003037.8193,,,2572,No,Not Specified,Not Specified,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{E2696D6D-1F0C-40FA-8CCE-AF849C0C80E3},40.11123630170502,-88.26616806730009
1393,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1255975.55905,1009804.871,5.0,,2574,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{388F213B-04D9-406C-9F74-0289033B9ADC},40.115448922897144,-88.24197641954844
1394,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1255939.68494999,1009757.634,5.0,,2575,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{2718C5E9-2D33-4F28-AFE3-6AD2CEAD390F},40.115350568547974,-88.24213315683802
1395,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1255913.4889,1009844.391,5.0,,2576,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{48E4D7FE-8634-41F0-8C72-25CD15D920FF},40.11527840484941,-88.24181312356906
1396,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1255881.298925,1009929.124,5.0,,2577,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{6F871E3B-76D8-46FC-B3E2-452C8062C69F},40.1151897640277,-88.2414644286208
1397,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1255874.40395,1009732.554,5.0,,2578,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{925B1FA0-B565-4767-90B0-54A451AAF315},40.11517143918463,-88.24222741230614
1398,Aluminum,Pipe Arm,Cobra,LED,286(LED),SL059,1255857.546075,1009786.506,5.0,,2579,No,Not Specified,Black,Not Specified,GE Evolve,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{65445DD8-3389-4F94-AD09-E4C94354F75C},40.11512501466056,-88.24203978689529
1399,Cast Iron,Other,Globe,IND,55,SL029,1257269.55705,1008003.33585,7.0,,2580,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{234ED1E9-3B26-45AC-9D35-6D999810C2E8},40.119007699760324,-88.24841133976655
1400,Concrete,Pipe Arm,Cobra,HPS,150,SL065,1254549.44114999,1012096.86545,3.0,,2585,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{DC3300F4-49DE-4DAE-A09F-058548C0A43C},40.111527317463604,-88.23377924050708
