X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID
-9830811.16722748,4876507.5956897,3682,Cast Aluminum,Other,Teardrop,LED,,SL131,1240378.24856,990311.69881,2,2018/01/01 06:00:00+00,9915,No,C,Black,Sternberg,GE,Yes,,GPS,,,{CC61BF7F-E9E1-4F6E-88A6-0672DF101774}
-9830793.93554137,4876531.52944487,3683,Cast Aluminum,Other,Cobra,LED,,SL131,1240438.19243,990355.00476,8,2018/01/01 06:00:00+00,9916,No,D,Black,Sternberg,GE,Yes,,GPS,,,{0D697DB3-371A-4D4F-91FD-4DA4675175B9}
-9830791.89680598,4876454.19376361,3684,Cast Aluminum,Other,Teardrop,LED,,SL131,1240244.53469,990360.1774,2,2018/01/01 06:00:00+00,9917,No,D,Black,Sternberg,GE,Yes,,GPS,,,{CE80E8EF-D529-493C-A5A8-33A6E6725A92}
-9830795.10564351,4876428.7364514,3685,Cast Aluminum,Other,Cobra,LED,,SL131,1240180.78365,990352.12616,8,2018/01/01 06:00:00+00,9918,No,D,Black,Sternberg,GE,Yes,,GPS,,,{A7018DCD-9204-41D2-95F6-30FDBA80539C}
-9830792.95315073,4876354.49911797,3686,Cast Aluminum,Other,Teardrop,LED,,SL131,1239994.88302,990357.58323,2,2018/01/01 06:00:00+00,9919,No,D,Black,Sternberg,GE,Yes,,GPS,,,{F62700A9-4837-4BF3-91FD-9CBB83B051E2}
-9830796.32687383,4876336.66137995,3687,Cast Aluminum,Other,Cobra,LED,,SL131,1239950.21192,990349.11224,8,2018/01/01 06:00:00+00,9920,No,D,Black,Sternberg,GE,Yes,,GPS,,,{0BB94D6C-0D51-4E88-84EA-B6E5DCCAC555}
-9830783.18748197,4876259.12414601,3688,Cast Aluminum,Other,Cobra,LED,,SL131,1239756.05265,990382.19325,8,2018/01/01 06:00:00+00,9921,No,D,Black,Sternberg,GE,Yes,,GPS,,,{965ED722-C6D6-4693-93B4-DFB669384BFC}
-9830762.62773937,4876262.13130898,3689,Cast Aluminum,Other,Teardrop,LED,,SL131,1239763.59604,990433.88011,2,2018/01/01 06:00:00+00,9922,No,D,Black,Sternberg,GE,Yes,,GPS,,,{C85512FD-61F8-4013-93CF-DCE8AF94A75D}
-9830683.94571702,4876258.03424805,3690,Cast Aluminum,Other,Cobra,LED,,SL131,1239753.38591,990631.69531,8,2018/01/01 06:00:00+00,9923,No,D,Black,Sternberg,GE,Yes,,GPS,,,{C9BAA28B-6179-4B9D-9826-F6D08BDC491D}
-9830651.29939475,4876260.67921725,3691,Cast Aluminum,Other,Teardrop,LED,,SL131,1239760.03052,990713.76895,2,2018/01/01 06:00:00+00,9924,No,D,Black,Sternberg,GE,Yes,,GPS,,,{EB3F1803-C3AC-4CB7-B2B3-EFF11A874688}
